decimalLatitude,decimalLongitude,year
36.065402,-5.730488,2019.0
36.004941,-5.611561,2019.0
37.091356,-8.669144,2024.0
36.181238,-5.335106,2017.0
36.06433,-5.699042,2022.0
36.58106,-6.262088,2022.0
36.231596,-6.072178,2022.0
36.181532,-5.335085,2017.0
36.528404,-6.312032,2024.0
36.498592,-4.814096,2024.0
36.203785,-6.053638,2022.0
36.012693,-5.585411,2019.0
36.268082,-6.088314,2022.0
36.107785,-5.439863,2021.0
36.072343,-5.429864,2018.0
36.557071,-6.223866,2022.0
36.084618,-5.4306,2018.0
36.004965,-5.611516,2019.0
38.688266,-9.361167,2024.0
36.590808,-4.526033,2024.0
38.687999,-9.360956,2024.0
35.099883,-2.287664,2023.0
43.199337,5.358704,2024.0
43.213942,5.325365,2024.0
36.69452,-2.672613,2024.0
36.685575,-2.715298,2024.0
37.742263,-25.651617,2024.0
36.68558,-2.715053,2024.0
36.812128,2.952603,2024.0
37.011081,-8.92648,2024.0
38.43424,-9.06408,2024.0
37.012177,-8.930229,2024.0
36.695652,-2.671713,2024.0
37.010519,-8.926251,2024.0
36.802978,2.918375,2024.0
36.179662,133.277785,1994.0
25.133333,121.75,
-55.983333,-67.266667,
43.289653,140.593003,
36.172764,133.239856,
37.743397,-25.64074,2024.0
43.213914,5.325333,2024.0
38.33,-0.5,2023.0
38.33,-0.5,2022.0
38.23,-0.52,2023.0
38.29,-0.51,2023.0
38.3,-0.51,2023.0
38.32,-0.5,2020.0
38.29,-0.49,2023.0
38.32,-0.51,2022.0
38.27,-0.51,2023.0
38.32,-0.51,2023.0
38.28,-0.5,2023.0
38.31,-0.51,2023.0
38.29,-0.5,2023.0
38.33,-0.51,2023.0
38.3,-0.49,2024.0
38.3,-0.5,2023.0
38.32,-0.5,2022.0
38.2,-0.5,2023.0
43.213722,5.325577,2024.0
43.214279,5.325234,2024.0
43.229057,5.348011,2024.0
43.215062,5.32613,2024.0
36.743013,-4.086818,2024.0
43.213684,5.325362,2024.0
43.197234,5.361392,2024.0
43.177719,5.37271,2024.0
43.215091,5.325183,2024.0
36.809831,2.948517,2024.0
43.22884,5.348285,2024.0
36.083084,-5.764546,2024.0
36.083229,-5.764503,2024.0
43.52595,4.13812,2022.0
43.52596,4.13823,2022.0
43.20948,5.37242,2021.0
43.42936,3.76702,2022.0
43.24092,5.3621,2021.0
43.28021,5.35278,2022.0
43.425,3.69986,2022.0
43.425,3.69986,2021.0
43.18852,5.38514,2023.0
43.41194,4.97372,2021.0
42.58017,8.72428,2021.0
43.19673,5.36187,2022.0
43.20778,5.33861,2022.0
43.53333,3.9525,2022.0
43.42472,3.7,2022.0
43.20783,5.33848,2021.0
43.42472,3.7,2021.0
43.43156,3.63451,2018.0
43.20783,5.33848,2022.0
43.42472,3.7,2023.0
43.04857,5.86866,2022.0
43.4186,3.80942,2022.0
43.53333,3.9525,2021.0
43.43958,3.66769,2018.0
43.42982,3.80205,2022.0
43.44494,3.90701,2022.0
43.50449,3.89671,2022.0
43.28403,3.52258,2022.0
43.42472,3.7,2019.0
43.27058,3.51475,2021.0
42.43311,3.17523,2023.0
43.17157,5.39385,2022.0
43.18864,5.38572,2022.0
43.18457,5.38928,2022.0
42.43353,3.17405,2022.0
43.20735,5.33748,2022.0
43.17157,5.39385,2021.0
43.18707,5.39108,2022.0
43.42472,3.7,2018.0
43.4137,3.68575,2021.0
36.51205,-6.28328,2023.0
43.188623,5.385471,2024.0
43.332777,5.198175,2024.0
36.005027,-5.606523,2024.0
37.089659,-8.329033,2024.0
43.330575,5.043069,2024.0
43.330384,5.043136,2024.0
43.428562,4.937518,2024.0
43.330355,5.042817,2024.0
43.333237,5.198004,2024.0
43.330454,5.042918,2024.0
43.334462,5.029167,2023.0
36.515808,-6.284725,2023.0
37.025714,-8.96425,2023.0
34.414656,126.863911,1999.0
34.306911,127.098108,1999.0
37.542097,130.919789,2016.0
37.513611,130.794722,2016.0
37.452139,130.870408,2016.0
37.239664,131.867833,2022.0
34.538744,128.730367,2023.0
37.098297,-8.35231,2023.0
43.189311,5.385246,2023.0
43.188783,5.385074,2021.0
38.534526,-28.53067,2023.0
37.025631,-8.964114,2023.0
43.207949,5.338478,2018.0
36.013864,-5.612412,2021.0
43.189209,5.385434,2023.0
43.438826,3.792885,2021.0
43.20779,5.338186,2023.0
43.428522,3.765663,2021.0
43.207393,5.33783,2023.0
43.425125,3.752797,2021.0
43.551256,4.006522,2023.0
43.185821,5.390786,2023.0
43.328674,5.045189,2023.0
43.207421,5.338117,2023.0
37.003196,-8.932943,2023.0
38.0,138.5333,2003.0
36.50602,-4.90431,2023.0
33.40833,132.13,1987.0
34.12333,133.01833,1990.0
37.016225,-8.927123,2022.0
36.806597,-2.061723,2023.0
37.181441,-7.338017,2023.0
37.178746,-7.344616,2023.0
43.555503,4.088785,2023.0
33.12036,126.26594,
34.88469,128.95239,
34.53469,128.73219,
34.10603,125.22553,
36.72147,129.73303,
33.22742,126.56775,
43.196669,5.362613,2023.0
36.088148,-5.782078,2022.0
36.002822,-5.612618,2023.0
-30.298,153.146,1988.0
